,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
54705,5d8e5bc1-ff5b-412c-84f5-9455a45d6fd4,38 year old male with hypopigmented patches near both ankles. What is not used for treatment?,Topical clobetasol,Topical tretinoin,Topical tacrolimus,Topical methoxsalen,1,multi,Treatment of vitiligo: 1.Topical a. Steroids eg: clobetasol b. Calcineurin inhibitors like tacrolimus c. Vit D analogues 2. Systemic a. Steroids b. Azathioprine 3. Phototherapy a. PUVA b. PUVASOL c. Narrow band UVB d. Targeted Phototherapy 4. Surgical treatment. Impoant point: Topical methoxsalen is Psoralen.,Dental,Hypo Pigmentary Disorders
54748,1d002305-de4a-4c9c-a16c-3872c216ebd9,"A patient of abdominal sepsis was staed on empirical treatment with intravenous ampicillin and gentamicin. Regarding the treatment of this patient, which statement is most accurate",Empirical treatment of abdominal sepsis should always include a third generation cephalosporin,A drug active against anaerobe should be included in the antibiotic regimen,Combination of ampicillin and gentamicin provides good coverage for all likely pathogens,"If the patient is severely allergic to ampicillin, then ceftriaxone should be used",1,multi,"Ref-KDT 6/e p679,680 Abdominal sepsis is a mixed type of intection caused by both aerobic and anaerobic organisms. Ampicillin and gentamicin will inhibit most of the aerobic organisms but these ae not ettective against anaerobic organisms. Therefore metronidazole or clindamycin should be included in the treatment regimen.",Anatomy,Other topics and Adverse effects
54879,b298e72b-57ea-4375-8a69-612b50bc8d3a,Pegvisomant is approved for the treatment of?,Parkinsonism,Hyperprolactinemia,Amenorrhoea,Acromegaly,3,single,Pegvisomant is a mutant growth hormone. It is used for the treatment of acromegaly caused by small pituitary adenoma. Ref: Sharma and Sharma 2nd e/pg 547,Pharmacology,Central Nervous system
54893,ffa1eacd-4dcc-49ac-af4f-263958d738a2,All are useful for management of severe Clostridium difficle treatment except -,Intravenous metronidazole,Neomycin enema,Fecal transplant,Tigecycline,1,multi,"Ans. is 'b' i.e., Neomycin enema Treatment of nonsevere Clostridium diffid-assodateddiarrhea in adultsInitial episodeo Mild diseaseo Severe diseaseo Severe complicated or fulminant- metronidazole- vancomycin- vancomycinFirst relapseo Confirm diagnosis.o If symptoms are mild, conservative management may be appropriate,o If antibiotics are needed, repeat treatment as in initial episode above,o Alternative: ftdaxomicin 200 mg orally twice daily for 10 days.Second relapseo Confirm diagnosis# Repeat vancomycin taper/pulseMultiple recurrences# Repeat vancomycin taperv'pulse# Vancomycin# Nitazoxanide# Fecal microbiota transplantation# IV immunoglobulin",Medicine,Bacteriology
54959,1b6e1870-2936-48c7-bd50-bc9b7f202608,"A 45-year-old male, Sanjeev was brought to the emergency with severe agitation and aggressive behavior. He was staed on haloperidol and the patient became responsive and cooperative. After 8 days of treatment, he developed high grade fever, diarrhea, confusion and muscle rigidity. Which of the following should be used for the treatment of this condition?",Diazepam,Benzhexol,Dantrolene,High dose of haloperidol,2,single,"(Ref: Katzung 11/e p499) Diagnosis in this patient is neuroleptic malignant syndrome (NMS). It is an adverse effect caused by typical antipsychotic drugs like haloperidol. It presents clinically with four primary features: (1) hypehermia, (2) extreme generalized rigidity, (3) autonomic instability, and (4) altered mental status. Dantrolene is drug of choice for this condition.",Anatomy,Other topics and Adverse effects
55297,aeba83ad-0066-4383-bd86-2a0cbeb7f27e,"In deciding on a treatment for a 60 years old patient, Golu, who has chronic hea disease and rheumatoid ahritis, you wish to give him procainamide. He is already taking digoxin, hydrochlohiazide and potassium supplementation. Which of the following is a relevant statement?",A possible drug interaction with digoxin suggests that digoxin blood levels should be obtained before and after staing procainamide.,Hyperkalemia should be avoided to reduce the likelihood of procainamide toxicity,Procainamide cannot be used if the patient has asthma because it has a beta blocking effect,Procainamide is not active by the oral route,1,multi,(Ref: KDT 6/e p512) Hyperkalemia increases the toxicity of class Ia antiarrhythmics.,Anatomy,Other topics and Adverse effects
55500,07a0c917-9d08-45c1-af73-a31003c5645d,Which of the following can cause complications with treatment of mandibular fracture?,Miniplate,IMF,Reconstruction plate,Compression plate,3,single,,Surgery,
55859,206b8de4-ac26-461c-b821-766f7147a5d2,A coin is loaded in the esophagus of an asymptomatic 3 year old female child. What is the treatment option in this child?,Immediate endoscopic removal,Wait for 48 hours,Endoscopic removal within 24 hours,Dislodge the coin to the stomach by inserting Ryle's tube,2,multi,Coins can be observed for upto 24 hours hoping that it passes into stomach. If it still remains in esophagus endoscopic removal of coin is done.,Pediatrics,
55937,b710eccd-1457-4a05-aacd-da390283da29,A patient develops hypoglycemia. He was on insulin and acarbose. For treatment of above what is to be given?,Glucose,Maltose,Sucrose,Starch,0,multi,"Ans. a. Glucose Hypoglycemic reactions are the most common complication of insulin therapy. All the manifestations of hypoglycemia are relieved by glucose administration. Since the patient is on acarbose, the absorption of complex polysaccharides would be delayed. For this reason, simple sugars like glucose should be administered.""Hypoglycemic reactions are the most common complication of insulin therapy. It commonly result from inadequate carbohydrate consumption, unusual physical exertion and targe dose of insulin.""Management of Hypoglycemia* All the manifestations of hypoglycemia are relieved by glucose administration* To increase absorption, simple sugar or glucose should be given preferably in liquid form.Management of Hypoglycemia Depends upon the Condition of the PatientMild to Moderate(Patient is conscious, able to swallow)Severe(Patient is unconscious, not able to swallow)* Glucose gel* Dextrose tablets* Any sugar containing beverage* 20-50 ml of 50% glucose solution by IV infusion over a period of 2-3 minutes* If IV therapy is not available, 1 mg of glucagon injected either subcutaneously or IM* If glucagon unavailable, honey syrups* Oral feeding contraindicated",Pharmacology,Endocrinology
56108,425bfa6b-b71d-466e-b1ac-fdd332a01f58,A patient presents with a lower gastrointestinal bleed. Sigmoidoscopy shows ulcers in the sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment -,Intravenous ceftriaxone,Intravenous metronidazole,Intravenous steroids and sulphasalazine,Hydrocortisone enemas,1,single,,Medicine,
56374,99391035-d305-481b-926c-c70a3754fafa,Which of the following is the treatment of choice in patients with neurogenic diabetes insipidus?,Vasopressin,Desmopressin,Terlipressin,Amiodarone,1,single,"The signs and symptoms of uncomplicated pituitary DI can be eliminated completely by treatment with Desmopressin (DDAVP), a synthetic analogue of AVP. It acts selectively at V2 receptors to increase urine concentration and decrease urine flow in a dose-dependent manner. It is also more resistant to degradation than AVP and has a three-to four fold longer duration of action. Desmopressin (DDAVP) can be given by IV or SC injection, nasal inhalation, or oral tablet.",Medicine,
56394,eeb89a1e-eaa1-4715-b411-1cab52fe130e,"A 30-year-old construction worker presented with exeional pain in his B/L forearms and hands. There is history of chronic cigarette smoking. O/E, Faint radial and ulnar pulses Easily palpable brachial pulse Angiography of the hand was done. Which of the following is the best treatment of the above condition: -",Enoxaparin,Prednisolone,Warfarin,Smoking cessation,3,multi,"1st image shows the gangrene of the digits. 2nd image shows the smooth tapering segmental lesions in small aerial distal vesels. This is a case of Thromboangitis obliterans/ Buerger's disease. Young male Heavy cigarette smoker Inflammatory occlusive vascular disorder Triad of claudication, Raynaud's phenomena and migratory superficial vein thrombophlebitis. Prognosis is worse in patients who continue to smoke. Best treatment is cessation of smoking. Cilastozol has no proven role.",Unknown,Integrated QBank
56529,9b7f895c-66ee-4de5-a529-97ffb53db393,Drugs that can be used for treatment of hypeension in a diabetic patient are Except,Losaan,Captopril,Amilodipine,Hydrochlohiaxide,3,multi,ACE inhibitor (captopril) and AT1 antagonists(losaan) First Choice antihypeensive drugs for diabetic patients Calcium channel blockers like amlodipine and Alpha blockers like Prisoner also safe in diabetics Thiazidess and diuretics should be avoided in diabetics,Pharmacology,Cardiovascular system
56644,5c093e68-7cca-41bd-aca6-0766c734ad74,A 15 year old boy with epilepsy on treatment with combination of valproate and phenytoin has good control of seizures. Levels of both drugs are in the therapeutic range. All of the following adverse effects can be attributed to valproate except :,Weight gain of 5 kg,Serum alanine aminotransaminase 150 IU/L,Rise in serum ammonia level by 201.tg/dL,Lymphadenopathy,3,multi,"Answer is D (Lymphadenopathy): Lymphadenopathy 'Pseudolymphoma' is a complication associated with use of phenytoin and is not seen with valproate. Side Effects of Valproate Side effects of phenytoin: 1. Hepatotoxicity : 1. Hyperplasia of gums - asymptomatic rise in serum transaminases is seen-KDT 2. Hyperglycemia - Fulminant hepatitis may be seen 3. Hirsutism 2. Weight gain 4. Hypersensitivity reaction 3. Hyper ammonemia 5. Hydantoin syndrome is foetus : during pregnancy 4. Gastric Irritation : Anorexia, vomiting 6. Megaloblastic anemia 5. Thrombocytopenia 7. Osteomalacia 6. Transient alopecia 8. Lymphadenopathy - (Harrison 15th /2364) 7. Ataxia, tremors and sedation may be seen (Pseudolymphoma) 8. Use during pregnancy may cause neural tube defects 9. Neurological symptoms like dizziness, ataxia, incordination, confusion, diplopia Drugs causing Lymphadenopathy -Harrison PhenytoinQ PrimidoneQ",Medicine,
56723,e841b9c6-da9c-450e-86a4-62cc51d36192,A 70 year old male chronic smoker is having carcinoma in situ of urinary bladder. TUR is done. Now there is a recurrence with the tumour extending into the muscle treatment would be,Intravesical BCG,I ntravesci cal chemotherapy,Palliative Radiotherapy,Radical Cystectomy,3,multi,Answer- D. Radical CystectomyTumor extending into muscle is stage T2 - Radical cystectomy is advised.Treatment-T2- T4Radical cystectomyNeoadjuvent chemotherapy followed by radical cytectomyfollowed by adjuvant chemotherapyConcomitant chemotherapy and irradiation,Surgery,
57145,d93cf761-fca1-4a1d-9691-60b1af04bbe0,"A 30-years-old woman para 2+0, hypertension have menorrhagia. Which is best treatment for her?",Combined pills,Mirena,Hysterectomy,Transcervical resection of endometrium,1,single,"In this particular question, female is 30 years old i.e. very young so we should not choose hysterectomy or endometrial ablation as the management of choice because in future she might desire pregnancy.
Patient is hypertensive, hence OCPs are contraindicated, so our answer by exclusion is Mirena which is logically also correct, as this patient has 2 children so she may not desire pregnancy presently.
Thus, Mirena serves 2 purposes in this female
I. Controls bleeding
II. Contraceptive benefit.
In future, if she desires pregnancy, she may get mirena removed.",Gynaecology & Obstetrics,
57156,eb526edb-77ba-4c06-abcc-6ca1c0befe66,"A 22-year-old woman is diagnosed with bipolar disorder. Over the next year, she develops neurologic manifestations that include resting and intention tremors, rigidity, chorea, dysphagia, and dysarthria. On physical examination, she has bilateral Babinski signs. There are ring-like deposits of green material involving the cornea bilaterally, but her vision is not decreased. One year later, she has an illness that lasts 3 weeks, with nausea, vomiting, and malaise and scleral icterus. Laboratory findings include serum AST, 100 U/L; ALT, 122 U/L; alkaline phosphatase, 105 U/L; total bilirubin, 4.5 mg/ dL; glucose, 77 mg/dL; and creatinine, 0.9 mg/dL. Serologic test results for hepatitis A, B, and C are negative. This episode subsides without treatment, but she eventually develops cirrhosis. A mutation in a gene encoding for what substance is most likely to be present in this woman?",a1-Antitrypsin,CFTR,C Copper-transporting ATPase,Galactose-1-phosphate uridyltransferase,2,multi,"Wilson disease (hepatolenticular degeneration) with Kayser-Fleischer corneal rings results from a mutation in the gene encoding for a copper-transporting ATPase (ATP7B). Excessive copper deposition occurs, particularly in the liver, putamen, and cornea. Psychiatric and neurologic disturbances are common in Wilson disease, and patients often develop chronic liver disease ranging from acute hepatitis to chronic hepatitis to cirrhosis. In di-antitrypsin deficiency, there can be chronic hepatitis and pulmonary emphysema, but there are no neurologic changes. Cystic fibrosis can lead to pulmonary disease and pancreatic insufficiency. Galactosemia can lead to liver disease and cirrhosis in early childhood. In its most severe form, Gaucher disease from glucocerebrosidase deficiency can lead to neurologic deterioration, but it does not lead to chronic liver disease. Von Gierke disease is a form of glycogen storage disease that does not commonly progress to cirrhosis.",Pathology,Misc.
57330,0c6a4e54-9b06-4f12-b10e-0a0718c4a0d1,Mass treatment with azithromycin is indicated if prevalence of follicular trachomatous inflammation (TF) In 1-9 years population is more than:,4%,6%,8%,10%,3,single,"Ans. d. 10% (Ref: Park 23/e p308; WHO Trachoma Control: A guide for programme managers, 2006; p21-22)Mass treatment with azithromycin is indicated if prevalence of follicular trachomatous inflammation (TF) in 1-9 year population is more than 10%.TrachomaCausative agent: Chlamydia trachomatis (immune types A, B, C)Sexually transmitted C. trachomatis (serotypes D, E, F, G, H, I, J, K) may cause a milder infection 'Inclusion conjunctivitis'Incubation period: 5-12 daysQMode of transmission:Direct or indirect contact with ocular discharges or fomitesQEye seeking fliesQVenereal transmissionQCharacteristic Features:MC infected age group: 2-5 years aged childrenCommunicability: Trachoma is a disease of low infectivityReservoir of infection: Children with active disease, chronically infected older children and adultsPredisposing factors: Direct sunlight, dust, smoke and irritants (such as kajal or surma)Field diagnosis of Trachoma:At least 2 of following diagnostic criteria in children 0-10 years ageQFollicles on upper tarsal conjunctivaLimbal follicles or their sequelae ( Herbert's PitsQ)Conjunctival scarring (Trichiasis, Entropion)Vascular pannusWHO Classification of TrachomaTIF (Trachomatous Inflammation Follicular)TII (Trachomatous Inflammation Intense)* Presence of >5 large follicles on upper tarsal conjunctivaQ* Obscuration of >50% of deep tarsal vessels of upper tarsal conjunctivaTreatment:Treatment of choke for Trachoma: Azithromycin 20 mg/ kg oral statQCurrent WHO Recommendations for Antibiotic Treatment of TrachomaDistrict level prevalence >10% in 1-9 years old children* Mass treatment with AzithromycinQDistrict level prevalence 5-10% in 1-9 years old children* Targeted treatment with Azithromycin (the identification and treatment of all members of any family in whom one or more members have follicular trachoma)District level prevalence < 5% in 1-9 years old children* Azithromycin distribution may not be necessaryMass Treatment for TrachomaIndication of mass treatment in Trachoma: >10 % prevalence of severe and moderate Trachoma in children < 10 years of age (New Guidelines-WHO)QTreatment: 1% tetracycline ointment BD for 5 consecutive days each month or OD for 10 days each month for 6 consecutive months, or for 60 consecutive daysQSAFE StrategyQ (WHO)Surgery: for Trichiasis and EntropionQAntibiotic use: Azithromycin is drug of choiceFacial cleanlinessEnvironmental improvementQ",Social & Preventive Medicine,Health Programmes in India
57447,a8fd1186-ca32-4ba2-b03e-ec6331baf606,"After contrast media injection in the Radiology department, a patient develops severe Hypotension, bronchospasm and cyanosis. Which one of the following drugs should be used for treatment",Atropine,Aminophylline,Dopamine,Adrenaline,3,single,,Medicine,
57471,bb4e2818-4784-4786-a5f3-28e4e970c182,A 50-year-old man has a history of frequent episodes of renal colic with high calcium renal stones. The most useful diuretic in the treatment of recurrent calcium stones is,Hydrochlohiazide,Acetazolamide,Furosemide,Spironolactone,0,single,"THIAZIDE AND RELATED DIURETICS (Inhibitors of Na+ Cl- sympo) mech of action:- The primary site of action is the coical diluting segment or the early DT. Here they inhibit Na+-Cl- sympo at the luminal membrane. Uses:- 1. Edema:- Thiazidesmay be used for mild-to- moderate cases. They act best in cardiac edema; are less effective in hepatic or renal edema. Thiazides are powerless in the presence of renal failure, but metolazone may still act. Cirrhotics often develop refractoriness to thiazides due to development of secondary hyperaldosteronism. 2. Hypeension:- Thiazides and related diure tics, especially chlohalidone are one of the first line drugs. 3. Diabetes insipidus:- Thiazides decrease positive free water clearance and are the only drugs effective in nephrogenic diabetes insipidus. 4. Hypercalciuria:- with recurrent calcium stones in the kidney. Thiazides act by reducing Ca2+ excretion. Ref:- kd tripathi; pg num:-582,584",Pharmacology,Kidney
57663,d1c43178-f3fe-40d9-a1f3-f9b0ccf506b0,"A 55-year-old male, with uncontrolled diabetes mellitus and hypeension, developed severe air-borne contact dermatitis. The most appropriate drug for his treatment would be:",Systemic coicosteroids,Thalidomide,Azathioprine,Cyclosporine,2,single,"C i.e. Azathioprine In contact dermatitis, the allergic reaction is mediated by delayed hypersensitivity (cell mediated immunity). It is treated by: - Antihistamincis - Steroids (topical/systemic) - Agents depressing cell mediated immunity as cyclosporine, tacrolimus, azathioprine",Skin,
57950,a5c079aa-a27f-404f-a7fd-190ce50704e2,"A 35 yr old female, mother of 3 children is observed to have CIN grade III on colposcopic biopsy. Best treatment will be:",Cryosurgery,Conization,LEEP,Hysterectomy,2,single,"Loop electrosurgical excision procedure (LEEP), also known as large loop excision of the transformation zone (LLETZ), uses electric current to generate waveforms through a metal electrode that either cuts or coagulates cervical tissues. LEEP is frequently used for treating CIN II and CIN III because of its ease of use, low cost, and provision of additional tissue for histologic evaluation. LEEP uses a small, fine, wire loop attached to an electrosurgical generator to excise the tissue of interest. Ref: Holschneider C.H. (2013). Chapter 48. Premalignant & Malignant Disorders of the Uterine Cervix. In A.H. DeCherney, L. Nathan, N. Laufer, A.S. Roman (Eds), CURRENT Diagnosis & Treatment: Obstetrics & Gynecology, 11e.",Gynaecology & Obstetrics,
58028,a799c322-fd5d-466d-ac82-518c3a443d92,"A 8 year old boy presented with swelling in the left eye of 3 months, examination revealed proptosis of left eye with preserved vision. Right eye is normal. CT scan revealed intraorbital extraconal mass lesion. Biopsy revealed embryonal rhabdomyosarcoma. Metastatic work up was normal. The standard line of treatment is -",Chemotherapy only,Wide local excision,Enucleation,Chemotherapy and Radiaton therapy,3,single,Treatment of choice for rhabdomyosarcoma is Radiotherapy followed by chemotherapy.,Ophthalmology,
58131,b34269d9-22cc-4f3f-9e54-e4e6ae353df1,"30 yrs female presented with unilateral breast cancer associated with axilary lymph node enlargement. Modified radical mastectomy was done, further treatment plan will be",Observation and follow-up,Adriamycin based chemotherapy followed by tamoxifen depending on estrogen/progesterone receptor status,Adriamycin based chemotherapy only,Tamoxifen only,1,single,"Ans. is 'b' i.e. Adriamycin based chemotherapy followed by tamoxifen depending on.... Stage I & II breast cancers (Early invasive breast cancers) are managed byPrimary therapy for local management &Adjuvant therapyPrimary therapy consists of:Mastectomy with assessment of axillary lymph node status (or modified radical mastectomy) orBreast conservation (lumpectomy, wide local excision or quadrantectomy) with assessment of axillary lymph node status + radiotherapy.Various trials have found both these methods to be equally effective. Breast conservation is the preferred form of treatment because of cosmetic advantages However there are certain contraindications for conservative surgery (described in subsequent question)Management of axillary lymph nodesEarlier dissection of axillary lymph nodes (level I and II) was performed to assess the lymph node status (i.e. presence or absence of occult metastasis)Now Sentinel lymph node biopsy is considered the standard for evaluation of the axillary lymph nodes for metastasis in women who have clinically negative lymph nodes, (the sentinel lymph node is the first regional lymph node to receive tumor cells that metastasize along the lymphatic pathway from the primary breast cancer)Axillary Lymph node dissection is performed for clinically palpable axillary lymph nodes or metastatic disease detected in sentinel lymph node biopsy.Adjuvant chemotherapy is given to all node-positive cancersnode negative cancers if > 1 cm in size * node negative cancer > .5 cm in size with adverse prognostic factors such as blood vessel or lymph vessel invasion high nuclear grade high histological grade HER 2/neu overexpression negative hormone receptor statusAdjuvant hormone therapy (tamoxifen) is added to all those with estrogen receptor positive tumors.HER-2/neu expression is determined for all patients with newly diagnosed breast cancer and may be used to provide prognostic information in patients with node-negative breast cancer and predict the relative efficacy of various chemotherapy regimens. Trastuzumab is the HER-2/neu-targeted agent that is added to the adjuvant therapy is the tumor shows overexpression of HER-2/neu receptors.Advanced Local-Regional Breast Cancer (Stage III)(Neoadjuvant chemotherapy + MRM + adjuvant radiation therapy + chemotherapy + antiestrogen therapy)Here the disease is advanced on the chest wall or in regional lymph nodes (or both), with no evidence of metastasis to distant sites. Such patients are recognized to be at significant risk for the development of subsequent metastases, and treatment addresses the risk for both local and systemic relapse.In an effort to provide optimal local-regional disease-free survival as well as distant disease-free survival for these women, surgery is integrated with radiation therapy and chemotherapy.Neoadjuvant chemotherapy (administration of therapeutic agents prior to the main treatment) should be considered in the initial management of all patients with locally advanced stage III breast cancer.Surgical therapy for women with stage III disease is usually a modified radical mastectomy, followed by adjuvant radiation therapy and chemotherapy. Antiestrogen therapy (tamoxifen) is added for hormone receptor positive tumors.Chemotherapy is used to maximize distant disease-free survival, whereas radiation therapy is used to maximize local-regional disease-free survival.In selected patients with stage IIIA cancer, neoadjuvant (preoperative) chemotherapy can reduce the size of the primary cancer and permit breast-conserving surgery.Distant Metastases (Stage IV)(mainly palliative treatment)Treatment for stage IV breast cancer is not curative but may prolong survival and enhance a woman's quality of life.Hormonal therapies that are associated with minimal toxicity are preferred to cytotoxic chemotherapy. Appropriate candidates for initial hormonal therapy include women with hormone receptor-positive cancers; women with bone or soft tissue metastases only; and women with limited and asymptomatic visceral metastases.Systemic chemotherapy is indicated for women with hormone receptor-negative cancers, symptomatic visceral metastases, and hormone-refractory metastases.Bisphosphonates, which may be given in addition to chemotherapy or hormone therapy, should be considered in women with bone metastases.About Adjuvant TherapyAdjuvant therapy is the use of systemic therapy (chemotherapy or/and hormone therapy) in patients who have received local therapy but are at risk of relapse.The objective is to eliminate the occult metastasis responsible for late recurrences while they are microscopic and theoretically most vulnerable to anticancer agents.Adjuvant chemotherapy is given to all node-positive cancersnode negative cancers if > 1 cm in size node negative cancer > .5 cm in size with adverse prognostic factors such as blood vessel or lymph vessel invasion high nuclear grade high histological grade HER 2/neu overexpression negative hormone receptor statusAdjuvant hormone therapy (tamoxifen) is added to all those with estrogen receptor positive.* The use of chemotherapy in post-menopausal women is controversial.In post menopausal women, chemotherapy is frequently used upto age 70 yrs, if she can tolerate it.In older women, chemotherapy is performed less frequently.In estrogen positive tumors, in postmenopausal women, antiestrogen (tamoxifen/ aromatase inhibitors) therapy is the preferred form of adjuvant systemic treatment.Neoadjuvant chemotherapy it involves the administration of adjuvant therapy before primary therapy (surgery & radiation therapy) it has shown to down-stage the tumor.Previously CMF (cyclophosphamide, methotrexate & 5-fluorouracil) was the chemotherapeutic regimen of choice. ""CMF is no longer considered adequate adjuvant chemotherapy and modem regimens include an anthracycline (doxorubicin or epirubicin) and the newer agents such as the taxanes (paclitaxel and docetaxel)""- Bailey and Love 25/e p844Anti-HER-2/neu antibody therapy (Trastuzumab)HER-2/neu expression for all newly diagnosed patients with breast cancer is now recommended.Trastuzumab is added to the chemotherapy for tumors overexpressing HER-2/neu receptors. (Trastuzumab is added along with taxanes)",Surgery,Breast Cancer - Treatments
58217,63ab51c5-ec0a-487f-b786-9d960dfbc3e3,Which is the true statement regarding gonococcal urethritis -a) Symptoms are more severe in females than in malesb) Rectum and prostate are resistant to gonococcic) Most patients present with symptoms of dysuriad) Single dose of ciprofioxacin is effective in treatmente) Commonly leads to arthritis,cd,bc,bd,ac,0,multi,"‘Acute urethritis is the most common clinical manifestation of gonorrhea in males and major symptoms are Urethral discharge and dysuria, usually without urinary frequency or urgency’ ………Harrison 18/e p1222-23
Ref: Harrison 18/e p1222-23, 19 e/p1005",Microbiology,
58227,76c5cb90-d172-48df-a76c-8e6ed1280bc4,"A patient presented with Hypovolemeia and Na is 154, The initial treatment includes",Normal saline,1/2 N saline with 5% dextrose,Dextran 40,Ringer's lactate,0,single,(A) Normal saline,Surgery,Miscellaneous
58436,e6829873-633e-4f92-821a-e235ec246305,What is the treatment in a child having laterally luxated teeth which are not in occlusion?,Wait and watch,Grind the opposite teeth,Extraction of that tooth,Immediate repositioning of the tooth,0,multi,"Depends on the severity, luxated teeth will come to their original position, if the trauma/ impact is of less severe. 
Repositioning and splinting can be done, if the teeth don’t come to its original position.",Dental,
58495,423e37d8-3918-4584-92e3-ee33804408e2,A child on b2 agonists for treatment of bronchial asthma may exhibit all of the following features except:,Tremors,Hypoglycemia,Hypokalemia,Bronchodilation,1,multi,Ans. (B) Hypoglycemia(Ref: KDT 8th/e p149)b2 agonists are the inhaled bronchodilators used for the management of bronchial asthma.Tremor is the dose related adverse effect of these drugs.Brief hyperkalemia followed by hypokalemia is an important adverse effect of these agents.b2 agonists do not cause hypoglycemia.,Pharmacology,Adrenergic System
58875,72329bab-3cf8-4611-8b8f-3a0653f79155,"A 56-year-old African-American man with COPD comes to the physician for a routine examination. His average diurnal ambulatory blood pressure is 148/92 mmHg. Laboratory studies show creatinine level of 3.2 mg/dL and a potassium level of 5.6 mg/dL. 
Which of the following medications would most likely be considered the first-line treatment in this patient?",Amlodipine,Doxazosin,Propranolol,Pamipril,0,single,,Medicine,
58894,3258c759-b297-427c-a486-97cde64fa5bd,An AIDS patient presents with fistula - in- ano. His CD4 count is below 50. What is the treatment of choice -,Seton,Fistulectomy,None,Both,0,multi,"Ans. is 'a' i.e., Seton",Surgery,
58938,7829ed2c-3f61-4e0f-842f-51382a4bed04,A 30 year old male with NIDDM has a blood pressure of 150/90. His urine examination reveals persistent albuminuria in traces. The most appropriated line of treatment would be -,Non treatment,Regular examination of urine and monitoring of blood sugar,Administering lisinopril and restriction of sodium,Restriction of sodium only,2,single,"Lisinopril is an ACE inhibitor . ACE stands for angiotensin conveing enzyme.Lisinopril is used to treat hypeension in adults and children who are at least 6 years old. It is also used to treat congestive hea failure in adults, or to improve survival after a hea attack . A reduction in dietary salt from the current intake of 9-12 g/day to the recommended level of less than 5-6 g/day will have major beneficial effects on cardiovascular health along with major healthcare cost savings around the world. The World Health Organization (WHO) strongly recommended to reduce dietary salt intake as one of the top priority actions to tackle the global non-communicable disease crisis and has urged member nations to take action to reduce population wide dietary salt intake to decrease the number of deaths from hypeension, cardiovascular disease and stroke . Ref - pubmed.com",Medicine,Endocrinology
59360,aed8cb44-f751-4d7b-96e2-0a7ef69063c0,Commando operation is used as treatment for,Colon cancer,Carcinoma esophagus,Parotid gland tumour,Carcinoma of oral cavity,3,single,,ENT,
59411,86cea17b-6b3f-4cc8-9278-4f2632f7678c,A 55 year old cardiac patient who was on long-term treatment comes for follow up visit. The physician observes the following finding on ophthalmological examination. Which drug prescribed by the physician would most probably be responsible for this?,Digoxin,Verapamil,Amiodarone,Propranolol,2,single,"The image shows ""voex keratopathy"". Here, there is a whorl-like pattern of epithelial deposits in the cornea. Causes:Drugs-Amiodarone, Chloroquine, Phenothiazines, Indomethacin Fabry's disease and its carrier stateThe whorl-like pattern shows the direction of migration of corneal epithelial cells.",Microbiology,All India exam
