,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,llm_label,llm_reason
1867,bf36ffdf-baaf-4bed-9bc8-fea302207307,A 25 year old male presents with a history of chronic diarrhea. Pathological examination reveals cryptitis and crypt abscesses. The likely diagnosis is:,Crohn's disease,Ulcerative colitis,Giardiasis,Microscipic colitis,1,single,"Though chronic diarrhea may be found in both ulcerative colitis and crohn's disease, cryptitis and crypt abscesses are characteristic findings of ulcerative colitis. So ulcerative colitis is the single best answer of choice. Ref: Harrison's Principles of Internal Medicine, 16th Edition, Pages 1176-84; Davidson's Principles and Practice of Medicine, 19th Edition, Pages 808-817",Medicine,,True,The question can be answered based on the presented symptoms and findings without needing specific options.
1868,39cc2243-9a92-45f0-a941-eb601a8af451,A 50 year old male presented with recurrent bloody diarrhea. Colonoscopy showed geographical ulcers. Histopathology is shown below. What is your diagnosis?,Pseudomebranous colitis,Non-hodgkin lymphoma colon,Adenocarcinoma colon,Crohn disease,3,single,Ans. (d) Crohn disease(Ref: R 9/ 798)The picture shows - transmural inflammation (blue part) and a overlying ulcer. The best option here is Crohns disease.,Pathology,G.I.T.,True,The question describes a clinical scenario and asks for a diagnosis based on the provided information without referencing specific options.
1869,0382aecd-0539-4730-8791-0b65a94aae85,"A two-month-old infant is brought to emergency depament with marked respiratory distress. On examination, the infant has cyanosis and bilateral crepitations. Hea rate is 180/min, respiratory rate 56/min and the liver span 7.5 cm. The child had repeated episodes of fever, cough and respiratory distress since the time of bih. Cardiovascular examination reveals a grade III ejection systolic murmur in left para-sternal area and the chest X-ray reveals cardiomegaly with a narrow base and plethoric lung fields. What is the most likely diagnosis?",Congenital methemoglobinemia,Transposition of great aeries,Cystic fibrosis,Tetralogy of Fallot,1,multi,"- In the given case scenario, infant has features of hea failure, cyanosis with repeated episodes of pneumonia suggesting increased pulmonary blood flow. - These clinical features along with the chest X ray findings are suggestive of Transposition of great aeries. - ON X-RAY : 'Egg on side' or 'Egg on string' appearance is characteristic of transposition of great aeries Other options: Congenital methemoglobinemia: Inherited in autosomal recessive pattern Diagnosed by genetic testing/ blood tests CYSTIC FIBROSIS: Mutation in gene encoding for CFTR - Located on long arm of chromosome 7 Presents with recurrent bronchiolitis in infancy, recurrent lower resp tract infections, bronchiectasis, steatorrhea, pancreatitis & azoospermia Diagnosed by presence of typical phenotype/ family history & confirmed by high sweat chloride on atleast 2 occasions/ by identifying mutation in both copies of CFTR TOF: Doesn't present with cyanosis at bih. X-ray shows Boot shaped hea.",Pediatrics,Other hea diseases in children,True,"The question asks for a diagnosis based on provided clinical information, which is analyzable without needing options."
1872,3b30cf32-530c-4d74-b458-e3d397df2ebe,"65-year-old lady underwent mastectomy for carcinoma breast. Later she developed frontai headache, pain in temple region and around eye. Her ESR is 55 mm/hour. What is the most probable diagnosis?",Cavernous sinus thrombosis,Meningeal metastasis,Frontal sinusitis,Giant cell arteritis,3,single,"Ans: D (Giant cell arteritis) Ref: Harrison's Principles of Internal Medicine, 18th ednExplanation:Giant Cell Arteritis taka Temporal Arteritis)Inflammation of large sized arteries.Commonly involves extracranial branches of external carotid artery.Most common involved artery - Temporal artery.Associated with polymyalgia rheum ail ca (seen in 40-50% cases of GCA).Common in elderly patients { > 55 years).More common in women.Clinical Featureso Localized scalp tenderness over the temporal artery.o Thick and nodular on palpation,o Jaw claudication - Most specific symptom.o Visual symptoms: Diplopia or amaurosis fugax (Anterior ischemic optic neuropathy),o Fever, Malaise, Fatigue,o Anorexia, Less of weight, Sweats,o Arthralgia.Investigationso Elevated ESR.o Anemia.o Temporal artery biopsy - showing giant cells - Investigation of choice.Treatment - Oral Prednisolone.",Medicine,Immunology and Rheumatology,True,The question provides sufficient clinical information to deduce a probable diagnosis.
1875,ef20580f-461a-41cb-af4d-9c232907e409,"A coin is loaded in the esophagus of an asymptomatic 3 years female child, treatment is:",Endoscopic removal after 24 hours,Immediate endoscopic removal,Wait for 48 hours,Dislodge the coin to the stomach by inseing Ryle's tube,0,single,"Asymptomatic blunt objects and coins can be observed for up to 24 hr anticipating passage into the stomach. If they still remain lodged in the esophagus, endoscopic removal is warranted. Sharp objects, disk button batteries, or foreign bodies associated with respiratory symptoms require urgent removal.",Pediatrics,Disorders of Gastrointestinal System Including Diarrhea,True,The question is asking for a treatment based on a medical scenario without explicitly referencing options.
1877,550a5d71-9ee5-4e15-b884-40decbb4db71,"A tall girl comes to OPD with history of primary amenorrhea. On examination, there is normal development  of breast, axillary and public hair is absent and there is presence of inguinal hernia. what is the probable diagnosis?",Complete gonadal dysgenesis,Meyer - Rokitansky syndrome,Androgen insensitivity syndrome,Congenital adrenal hyperplasia.,2,multi,"Testicular feminising syndrome / Androgen insensitivity syndrome :
Mutation in androgen receptor causes resistance to androgen action

Genotype is that of male,while phenotype is of female.
Vagina ends blindly in a pouch.
During puberty there is normal development of breasts, public and axillary hair absent and primary amenorrhea.
Undescended testis leads to bilateral inguinal hernia.",Pediatrics,,True,The question provides sufficient clinical information to deduce a probable diagnosis without needing options.
1879,01ddc7d4-8bd8-4ab5-85a8-2ea6498a9ac4,A 40-year-old female patient presented with dysphagia to both liquids and solids and regurgitation for 3 months. The dysphagia was non-progressive. What is the most likely diagnosis?,Caricnoma of the esophagus,Lower oesophageal mucosal ring,Achalasia cardia,Reflux esophagitis with esophageal stricture,2,multi,"Dysphagia equal for both solids and liquids from the very onset of disease suggests motor disorder like 
Achalasia
Diffuse esophageal spasm
Dysphagia more for solids than liquids implies mechanical obstruction
Ca esophagus
Strictures
Webs
Note that dysphagia in achalasia cardia is slowly progressive. But 'nonprogressive' dysphagia in this pt. does not rule out the diagnosis of achalasia",Surgery,,True,The question can be answered based on the provided clinical information without needing options.
1881,0ea315a3-44d7-4739-959e-11fbd5747397,"A 50 year old male presents with cicatricial entopion of upper and lower eyelid. On eversion of upper eyelid, linear conjunctival scars - Arlt line are seen. What is the diagnosis?",Trachoma,Spring catarrah,Ligneous conjunctivitis,Parinaud oculoglandular syndrome,0,single,"Ans. is 'a' i.e., Trachoma * Arlt line is a feature of trachoma.Signs of Trachoma* Conjunctival signs Congestion, conjunctival follicles (boiled sagograin like), Papillary hyperplasia, conjunctival scarring (Arifs line), concretion.* Corneal signsSuperficial keratitis, Herbert follicles, Pannus, Corneal ulcer, Herbert pits, Corneal opacity.",Ophthalmology,Lid,True,The question provides sufficient information to determine the diagnosis.
1882,33019825-a1b2-4fe4-8b60-c24b9f890123,"A 4–year–old child is admitted with fever, non–purulent conjunctivitis, rashes, cervical lymphadenopthy, hepatomegaly and desquamation of fingers and toes. Echocardiography shows coronary artery aneurysm. What is the most likely diagnosis ?",Measles,German measles,Progeria,Kawasaki disease,3,single,,Pediatrics,,True,"The question can be answered based on the symptoms and findings provided, without the need for multiple-choice options."
1883,be3dffc4-6702-4abb-9906-59dfb693d71d,Using a small fine probe single lactiferous duct is excised.  What is the name of the procedure:,Microdochectomy,Macrodochectomy,Hadfield operation,Webster operation,0,multi,"Ref. Sabiston Textbook of Surgery. Pg. 837
 

Microdoectomy is the excision of single lactiferous duct
Hadfield operation is central duct excision which is surgical removal of all lactiferous ducts under the nipple


It is done in Mammary duct ectasia (periductal mastitis)",Unknown,,True,The question is straightforward and does not reference options.
1889,9fbb02d6-25d7-4027-b762-fcb6441b6f15,A 50-year-old man had drinks followed by a heavy dinner. He had severe vomiting and chest pain and collapsed. X-ray of chest showed hydropneumothorax. The likely diagnosis is:,Mallory-Weiss syndrome,Boerhaave syndrome,Ruptured duodenal ulcer,Myocardial infarction,1,multi,"Severe vomiting can cause tear of oesophageal mucosa only (Mallory-Weiss syndrome) or tear of all the layers of oesophageal wall (Boerhaave syndrome) above the diaphragm due to sudden increase in oesophageal pressure. Since there is hydropneumothorax, all the layers of oesophagus are torn. Oesophagogram with water-soluble die will show tear located just above the diaphragm. Small tears may be missed unless barium is used.Treatment of Boerhaave syndrome is thoracotomy, repair of the tear and mediastinal drainage. Systemic antibiotics should be used to control infection.",ENT,Oral Cavity,True,The question can be answered based on the provided clinical details without needing specific options.
1890,8d747f94-fa97-4ab8-9f19-e0087c503392,A 5 year old child is brought to the clinic with abdominal distention. On examination abdominal distention is found to be due to an enlarged liver. Child also developed episodes of uncontrolled hypoglycemia and ketosis. What is the most probable diagnosis?,Diabetes mellitus,Glycogen storage diseases,Lipid storage disorders,Mucopolysacharidosis,1,single,"This child presenting with hepatomegaly, hypoglycemia and lactic acidosis is most likely suffering from Von Gierke's disease which is a glycogen storage disease. Von Gierke's disease: It is an autosomal recessive disease caused by deficiency of glucose 6 phosphatase in liver, kidney and intestinal mucosa. Features: Children have doll like facies with fat cheeks, thin extremities, protruberant abdomen due to hepatomegaly Kidneys are enlarged, but have normal spleen and hea size Hepatocytes are distended with glycogen and fat Easy bruising, epistaxis Hyperuricemia and hyperlipidemia",Pediatrics,,True,"The question describes a clinical scenario and asks for a diagnosis, which can be deduced from the information given without needing options."
1891,6a4df828-83d9-427e-a338-6b03db8b8f93,A thiy-year-old male presents to the Emergency Depament with symptoms of epigastric pain radiating to back that wakes him up at night and is relieved by consuming food. He gives a history of similar pain in the past which was diagnosed as perforated duodenal ulcer and treated with omental patch surgery on two occasions. Pain before and after surgery has been controlled with proton pump inhibitors and analgesics. The likely diagnosis on this occasion is,Duodenal ulcer,Gastric ulcer,Atrophic Gastritis,Chronic Pancreatitis,0,single,"In duodenal ulcer pain is more before food early morning and decreases after taking food these symptoms are classically called hunger pain, as pain is relieved by taking food, night pains are common, shows marked periodicity than gastric ulcer, tenderness is present on epigastric region whereas in gastric ulcer pain is in the epigastric region after taking food, lasting up to 2 hours, pain uncommon during the night In pancreatitis it&;s sudden onset of pain which is referred to back, pain is relieved after leaning forward Reference SRB edition 5 page no.825 ,823,685",Surgery,G.I.T,True,The question provides sufficient clinical details to infer a likely diagnosis without needing specific options.
1894,5c1f2183-4eb5-4fab-a131-974eefdaedd5,A patient presents with hypeension and hypokalemia. CT abdomen was performed. What is the diagnosis?,Pheochromocytoma,Conn syndrome,Liddle syndrome,Secondary hyperaldosteronism,1,single,"- The image shows mass on top of kidney, indicative of adrenal pathology. Since hypeension is present with hypokalemia, increased aldosterone from adrenal adenoma is diagnostic of Conn syndrome. - Pheochromocytoma has hypeension but hypokalemia is not seen. - Liddle syndrome is autosomal dominant disorder with over activity of epithelial sodium channel, but does not present as an adrenal mass.",Medicine,Cushing Syndrome,True,The question provides enough clinical information to suggest a potential diagnosis.
1896,81ec55fa-ce2d-45cf-9b22-c773479050e5,A child presents with hepatomegaly and hypoglycemia. There is no improvement in blood sugar even after administration of epinephrine. What is the likely diagnosis?,Von Gierke's disease,Anderson's disease,Pompe's disease,Mc Ardle's disease,0,single,"Epinephrine- | blood glucose level by stimulating glycogenolysis and gluconeogenesis, mediated by glucose 6 phosphatase- conves Glucose-6-phosphate to Glucose Von Gierke disease- deficiency of Glucose 6 phosphatase enzyme Hence, epinephrine is not able to increase blood glucose in a child with Von Gierke disease, but lactate levels increase.",Pediatrics,Disorders of Carbohydrate Metabolism,True,The question can be answered based on the presented symptoms without the need for options.
1898,2c494ffd-f802-4081-8a0b-4ed1ac1200b2,"A 15 year old boy presented with multiple hypoaesthetic macules with sloping edge, seen on the face, trunk and arms. Histopathologic examination of lesion shows numerous bacilli and granulomatous infiltration. What is your diagnosis?",Tuberculoid leprosy,Lepromatous leprosy,Borderline leprosy,Indeterminate leprosy,2,single,"Presence of numerous bacilli in the lesion rules out tuberculoid leprosy and presence of granulomatous infitration rules out lepromatous leprosy. Indeterminate leprosy presents with one or few lesions so it cannot be indeterminate leprosy. Borderline leprosy is an intermediate between tuberculoid and lepromatous leprosy and hence may have characters of both, so this is a case of borderline leprosy. Ref: Illustrated Synopsis of Dermatology and Sexually Transmitted Diseases By Neena Khanna 2ND edn page 225.",Skin,,True,The question can be answered based on the provided clinical information and does not reference options.
1912,5d9e2ca0-c565-465a-b1dc-b3ddaaee591f,"An elderly man with history of frequent falls presents to ED with features of dementia, ataxia, difficulty in downward gaze. What is the most likely diagnosis?",Parkinsons disease,Progressive supranuclear palsy,Multi infarct dementia,Alzheimers disease,1,multi,"Progressive supranuclear palsy (PSP) is a degenerative disease that involves the brainstem, basal ganglia, limbic structures and selected areas of coex. Clinically, this disorder begins with falls and executive or subtle personality changes such as mental rigidity, impulsivity, or apathy. A progressive oculomotor syndrome ensues that begins with square wave jerks, followed by slowed saccades (veical worse than horizontal) before resulting in progressive supranuclear ophthalmoparesis. Dysahria, dysphagia, and symmetric axial rigidity can be prominent features that emerge at any point in the illness. A stiff, unstable posture with hyperextension of the neck and a slow, jerky, toppling gait is characteristic. The oculomotor disorder is supranuclear.The dementia overlaps with Fronto temporal dementia, featuring apathy, frontal-executive dysfunction, poor judgment, slowed thought processes, impaired verbal fluency and difficulty with sequential actions and with shifting from one task to another. Response to l-dopa is limited or absent. Death occurs within 5-10 years of onset. Ref: Harrison's Internal Medicine, 18th Edition, Pages 3311, 3317-3326, 3309, 3305",Medicine,,True,The question can be answered based on the clinical features provided without referencing options.
1916,ed2b95e0-7c66-4e6d-a059-3ec91fe139be,"A female presented with loss of vision in both eyes and on examination has normal pupillary responses and normal fundus, Her visually evoked response (VER) examination shows extinguished responses. The most likely diagnosis is",Hysteria,Coical blindness,Optic Neuritis,Retinal Detacment,1,multi,"B. i.e. Coical blindness VER assess the functional state of the visual system beyond retinal ganglion cells. Since there is dispropoionately large projection of macular area in the occipital coex, the clinically measured VER is primary a response generated by macula & optic nerve. In any abnormality of macula, optic nerve or the remaining optic pathway (beyond optic nerve), there is increase in latency and decrease in amplitude (extinguished responseQ). The timing of onset of the response (latency) is a more reliable and generally more useful parameter than amplitude. In retrobulbar neuritis latency persists even when vision returns to normal. Delay is therefore an impoant sign of past attack of retrobulbar neuritis.",Ophthalmology,,True,The question provides enough clinical details to infer a possible diagnosis without needing options.
1918,d6cbc60c-169e-483a-8314-fe57c4d72eae,A patients CT scan reveals diverticulitis confined to the sigmoid colon. There is no associated pericolic abscess. What is best course of treatment?,"Bowel rest, nasogastric suction, IV fluids, and broad-spectrum antibiotics",Urgent surgical resection,Steroids,Diverting colostomy,0,single,"Uncomplicated diverticulitis is treated with broad spectrum antibiotics and bowel rest. Surgery is not indicated - either resection or diversion of the fecal stream by colotomy or ilestomy. Anti-inflammatory agents are not indicated in the therapy of diverticulitis. The risk of a second episode is less than 30%. After a second episode, the risk is greater than 50% and resection may be advised at this stage.",Surgery,Small & Large Intestine,True,The question asks for the best course of treatment without referencing multiple choice options.
1919,2a89e717-97a0-4a85-9f4b-88e9121ba2d7,"A 40 year old patient has undergone an open cholecystectomy. The procedure was repoed as uneventful by the surgeon. She has 100ml of bile output from the drain kept in the gallbladder bed on the first postoperative day. On examination she is afebrile and anicteric. The abdomen is soft and bowel sounds are normally heard. As an attending surgical resident, what should be your advice?",Order an urgent endoscopic retrograde cholangiography and biliary stenting,Urgent laparotomy,Order an urgent hepatic iminodiacetic acid scintigraphy (H1DA),Clinical observation,3,multi,A minimal amount of bile leakage persists for a day or two following cholecystectomy. It does not require any intervention as long as the bile leak is less than 500 ml and it decreases gradually. Any bile leak persisting for more than three postoperative days or more than 500 ml requires investigation. Causes : Common bile duct injury Slippage of knots off the cystic duct stump Injury to intrahepatic biliary duct during dissection of gall bladder of liver bed,Surgery,,True,The question seeks advice based on the clinical scenario provided without referencing specific options.
1922,799f5cf7-2804-4395-9540-922089158b80,"Kallu a 22 years old male suffers from decreased sleep, increased sexual activity, excitement and spending excessive money for last 8 days. The diagnosis is:",Confusion,Disorientation,Hyperactivity,Loss of memory,2,multi,C i.e. Hyperactivity,Psychiatry,,True,The question provides sufficient clinical information to determine the diagnosis without referencing any options.
1926,cba4d1bf-f7ad-4f94-aacd-5429f433ac94,A term infant is born to a known HIV- positive mother. She has been taking antiretroviral medications for the weeks prior to the delivery of her infant. Routine management of the healthy infant should include,Admission to the neonatal intensive care unit for close cardiovascular monitoring,HIV ELISA on the infant to determine if congenital infection has occurred,A course of zidovudine for the infant,Chest radiographs to evaluate for congenital Pneumocystis carinii,2,single,"The transmission of HIV from mother to infant has decreased in recent years, due in large pa to perinatal administration of antiretroviral medications to the mother and a course of zidovudine to the exposed infant. Studies suggest that a better than 50% decrease in transmission can be seen with appropriate medications as outlined. An ELISA is an antibody test and will be positive in the infant born to an HIV-infected mother due to maternal antibodies that are passed through the placenta; it is not a useful test in the newborn infant to determine neonatal infection. IVIG has not been shown to have a role in decreasing perinatal transmission. Healthy asymptomatic term infants born to HIV-infected mothers do not need special monitoring nor do they need routine radiographs.",Surgery,,True,The question asks about routine management without referencing specific options.
1929,a2ac72fd-6d3c-44e9-aeba-54c0c5b43849,"A two-month-old infant is brought to the hospital emergency with marked respiratory distress. On examination, the infant has cyanosis and bilateral crepitations. Heart rate is 180/min, respiratory rate 56/min and the liver span 7.5 cm. The child has had repeated episodes of fever, cough and respiratory distress since the time of birth. Cardiovascular examination reveals a grade III ejection systolic murmur in left parasternal area and the chest X-ray reveals cardiomegaly with a narrow base and plethoric lung fields. What is the most likely diagnosis?",Congenital methemoglobinemia,Transposition of great arteries,Cystic fibrosis,Tetralogy of Fallot,1,multi,"b. Transposition of great arteries(Ref: Nelson's 20/e p 2223-2225, Ghai 8/e p 424-426)In the given case scenario, an infant has features of heart failure, cyanosis with repeated episodes of pneumonia suggesting incree pulmonary blood flow. These clinical features along with the chest X ray findings are suggestive of Transposition of great arteries",Pediatrics,C.V.S.,True,The question asks for a diagnosis based on provided clinical information and does not reference multiple-choice options.
1933,b6c56c39-3d75-4a19-8e07-a13681f3d9b2,"Following a car crash in which her face hit the steering wheel, a 37-year-old woman presents to the emergency department with facial deformity. Facial x-rays showed a transverse fracture through the articulation of the maxillary and nasal bones with the frontal bone. The fracture also passed below the zygomatic bone. What is the diagnosis?",Sphenoid wing fracture,LeFort II fracture,Petrous temporal fracture,Palatal split,1,single,"The bones injured describe a Le Fort II fracture, (Figure below) occasionally associated with a palatal split, where the right and left maxillary are completely separated at the midline or the hard palate. Gently rocking the maxillary arch causes the maxilla and nasofrontal areas to move in concert. If there is a Le Fort III fracture, the entire face is detached from the cranial base.Classic Le Fort fracture patterns.",Surgery,Trauma,True,The question can be answered based on the provided medical details without needing options.
1934,b91815fb-82c7-43f9-b357-3bb38afbfec0,"30 years old male patient came to chest OPD with pain in right side of chest and cough for past 3 weeks. On examination, decreased breath sounds were heard in basal segment of right lung. Chest x-ray revealed obscuration of bilateral CP angle. Subsequently CECT chest was done . Most probable diagnosis is?",Empyema,Loculated pleural effusion,Pulmonary abscess,Mesothelioma,0,single,The split pleura sign is seen with pleural empyemas and is considered the most reliable CT sign helping to distinguish empyemas from noninfectious pleural effusions. The sign results from fibrin coating of both the parietal and visceral surface of the pleura with resulting in growth of blood vessels. Following IV contrast injection CT shows a loculated fluid collection and thickened pleural layers with accompanying enhancement. Both layers of the pleura can then be visualized as linear regions of enhancement that divide around a less dense empyema or in other words come together at the margins of the collection.,Radiology,Radiology Q Bank,True,The question asks for a probable diagnosis based on the provided medical information without referencing options.
1937,649e1475-8944-417a-b984-9067c9f203a2,"A 40 yr old male with controlled thyrotoxicosis and Carcinoma rectum was undergoing laparcopic abdominoperineal resection, during which he was found to have decreased Blood Pressure and Hea Rate. On examination, a mill-wheal murmur was heard. The end tidal pCO2 was observed found reducing from 40 to 10. What is the most likely diagnosis?",Air embolism,Thyroid storm,Blood loss,Acute hypoxia,0,single,A i.e. Air embolism,Anaesthesia,,True,The question can be assessed based on provided clinical information without needing external options.
1940,63da6635-6e08-4d88-bb5a-596651e01131,A 45-year-old female is diagnosed as a case of pneumococcal meningitis. Her blood sample were sent for culture sensitivity. In the mean time best drug to sta as an empirical treatment is,Penicillin G,Doxycycline,Streptomycin,Vancomycin + ceftriaxone,3,single,"Ans. d. Vancomycin + ceftriaxone Antimicrobial therapy of pneumoeoccal meningitis is initiated with a cephalosporin (ceftriaxone, cefotaxime, or cefepime) and vancomycin. ""Antimicrobial therapy ofpneumococcal meningitis is initiated with a cephalosporin (ceftriaxone, cefotaxime, or cefepime) and vancomycin. For S. pneumoniae meningitis, an isolate of S. pneumoniae is considered to be susceptible to penicillin with a minimal inhibitory concentration (MIC)1.0 mg/mL. Isolates of S. pneumoniae that have cephalosporin MICs2 mg/mL are considered resistant. For meningitis due to pneumococci, with cefotaxime or ceftriaxone MICs1 mg/mL, vancomycin is the antibiotic of choice. Rifampin can be added to vancomycin for its synergistic effect but is inadequate as monotherapy because resistance develops rapidly when it is used alone. ""- ""A 2-week course of intravenous antimicrobial therapy is recommended for pneumococcal meningitis."" ""Patients with penicillin- and cephalosporin-resistant strains of S. pneumoniae who do not respond to intravenous vancomycin alone may benefit from the addition of intraventricular vancomycin. The intraventricular route of administration is preferred over the intrathecal route because adequate concentrations of vancomycin in the cerebral ventricles are not always achieved with intrathecal administration.""- Antimicrobial Therapy of CNS Bacterial Infections Based on Pathogens Organism Antibiotic Neisseria meningitides Penicillin-sensitive Penicillin G or ampicillinQ Penicillin-resistant Ceftriaxone or cefotaximeQ Streptococcus pneumoniae Penicillin-sensitive Penicillin GQ Penicillin-intermediate Ceftriaxone or cefotaxime or cefepime Penicillin-resistant (Ceftriaxone or cefotaxime or cefepime) vancomycinQ Gram-negative bacilli (except Pseudomonas spp.) Ceftriaxone or cefotaximeQ Pseudomonas aeruginosa Ceftazidime or cefepime or meropenemQ Staphylococci spp. Methicillin-sensitive NafcillinQ Methicillin-resistant VancomycinQ Listeria monocytogenes Ampicillin + gentamicinQ Haemophilus influenzae Ceftriaxone or cefotaxime or cefepimeQ Streptococcus agalactiae Penicillin G or ampicillinQ Bacteroides fragilis MetronidazoleQ Fusobacterium spp. MetronidazoleQ",Medicine,,True,"The question is asking for the best empirical treatment based on medical knowledge, without referencing provided options."
1941,5fd556cc-bfcc-4068-a728-ead94f75fb2b,"A 17-year-old girl had been taking a drug for treatment of acne for the last 2 years, which has lead to pigmentation. Which drug could it be?",Doxycycline,Minocycline,Azithromycin,Chlorpromazine,1,single,"Ans. (B) Minocycline(Ref: Harrison 17th/e p327-328, CMDT-2010/121)Both minocycline as well as chlorpromazine can cause pigmentation on long-term use.However, as the patient in question is being treated for acne, the answer should be minocycline. Antibiotics used in acne are erythromycin, clindamycin, tetracycline, doxycycline and minocycline.",Pharmacology,Miscellaneous,True,"The question is asking for a specific drug based on the provided context, which is a common medical scenario."
1946,6f2b1c57-c43a-4a26-a57f-3e06c0ae7133,A patient presents with fracture of femur. On 3rd day of admission he develops breathlessness. Most probable diagnosis is?,A.R.D.S,P.A.H,Pulmonary embolism,Neurogenic shock,2,single,Fracture of femur- Cause immobilization | Stasis in calf veins | Thrombus formation- Retrograde spread- Pulmonary embolism,Medicine,Thromboembolism and Fat Embolism Syndrome,True,The question can be answered based on medical knowledge without referring to specific options.
1949,119b67b4-c755-4189-bc54-f8ce499ebe76,A 9 year old boy with elevation in both PT and APTT. What is the diagnosis aEUR',Defect in extrinsic pathway,Detect in intrinsic pathway,Platelet function defect,Defect in common pathway,3,multi,"Defect in common pathway Traditionally the blood coagulation pathway has been divided into extrinsic and intrinsic pathways, converging where factor X is activated. The role of both extrinsic and intrinsic pathways is to eventually produce prothrombin activator. Prothrombin activator is a complex of :- - Activated factor XQ - Activated factor V andQ --ca+-1-u . Both extrinsic and intrinsic pathways involve a number of clotting factors which paicipate in cascading reactions, that ultimately lead to the formation of activated factor X which combines with factor V and Ca++ to .form prothrombin activator. . When a blood vessel ruptures, clotting occurs by both pathways simultaneously. . Tissue thronzboplastin released from the damazed cells in the vascular endothelium activates extrinsic pathway, while, . Contact of factor XII and platelets with collagen in the vascular wall initiates the intrinsic pathway Thrombin Time . It is the time taken for clotting to occur when thrombin is added to the plasmaQ (normal < 15 s). . It tests the conversion of fibrinogen to fibrin and depends on adequate fibrinogen levels('. . So, the conditions in which fibrinogen level is decreased will cause prolonged thrombin time. These conditions are a) AfibrinogenemiaQ b)DysfibrinogenemaQ c) Heparin-like inhibitors or heparin administration('. d) Disseminated intravascular coagulation(' Paial Thromboplastin Time (PTT)(' . This test is used for measuring the integrity of the intrinsic(' and common pathways. . It measured the clotting time from factor XII to fibrin clot formation. . To perform PTT, patient's plasma is mixed with calcium and phospholipid_(paial thromboplastin), both of which arc required factor in coagulation cascade. . An intrinsic pathway activator such as silica or kaolin is mixed to activated the intrinsic pathway. Prothrombin Timedeg . The prothrombin time is a general measure of the integrity of extrinsic and common pathway('. . The PT measures the time .from factor VII activation to fibrin clot formation. . To perform PT a patients plasma is mixed with calcium and thromboplastin (Thromboplastin is a tissue extract that contains abundant phospholipid and tissue factor and therefore this mixture activates the factor VII). Bleeding time(' . It is the time taken for a standardized skin puncture to stop bleeding('. . It is not a test of coagulation rather it tests the ability of the vessels to vasoconstrictQ and the platelets to form a hemostatic plug. . h is believed that hemostasis in a small superficial wound such as that produced when measuring the bleeding time depends upon the rate at which a stable platelet plug is formed and thus provides a measure of the efficiency of the vascular and platelet phases; however, it does not discriminate between vascular defects, thrombocytopenia and platelet dysfunction.",Pathology,,True,The question can be answered based on the information provided about the patient's condition without needing to refer to options.
1951,f8a8edf1-fc26-4e49-b704-59490bcad251,"A 10 year old female presents with pain in the right hypochondrium, fever, jaundice and palpable mass in the right hypochondrium. The probable diagnosis is",Hepatitis,Hepatoma,Choledochal cyst,Mucocele gallbladder,2,multi,"Choledochal cyst Cystic dilation of the biliary ducts, more common in females Clinical features. Classical triad : Pain, jaundice (intermittent) & abdominal mass(10%). Most common symptom in infants : Jaundice (in 80%) Most common symptom in patients >2 years of age : Abdominal pain. In children, the major clinical symptoms are recurrent abdominal pain (81.8%), nausea & vomiting (65.5%), mild jaundice (43.6%), an abdominal mass (29%), and fever (29%) In adukts, abdominal pain (87%), and jaundice (42%), and present frequently. Less common clinical findings include nausea (29%), cholangitis (26%), pancreatitis (23%), and an abdominal mass(13%) Ref: Sabiston 20th edition Pgno :1511",Anatomy,G.I.T,True,The question provides sufficient detail to suggest a probable diagnosis without the need for options.
1953,e2438714-1977-46f7-83b6-515b28fa88b3,"A  24 year old male presents to the clinic for routine checkup. On routine radiograph, supernumerary teeth are seen. General examination reveals hypermobility of shoulders and Gorlin sign is absent. What is the most probable diagnosis?",Sturge Weber Syndrome,Marie-Sainton Disease,Hallerman-Streiff syndrome,Ehlers Danlos Syndrome,1,multi,"Cleidocranial Dysplasia (Marie and Sainton’s disease, Scheuthauer-Marie-Sainton syndrome, mutational dysostosis)
Absence of clavicle causes unusual mobility of the shoulders with the tendency of the patients to bring their shoulders forward till they meet in the midline. Cleidocranial dysplasia is a syndrome of unknown cause. It is usually transmitted as an autosomal dominant trait.
Gorlin sign: It is the ability to touch the tip of the nose with the tongue. It is present in Ehlers-Danlos syndrome.",Radiology,,True,The question can be answered based on the provided details without referencing specific options.
1954,b0500326-7315-42c7-b50f-bfb80696691d,"A 10-year-old boy was admitted to the ward with complaints of fever for 2 weeks duration. After admission his fever pattern is recorded (shown below). In addition, he has ahritis and hepatosplenomegaly. What is the likely diagnosis?",Systemic onset JIA,Acute Leukemia,Enteric fever,Measles,0,single,"The depicted fever pattern is suggestive of Quotidian fever. Quotidian fever means the presence of daily fever spikes with temperature touching and going below baseline (37oC ) on occasions. Among the given options, this fever pattern is suggestive of Systemic onset JIA. In Systemic onset JIA, in addition to ahritis, Systemic features such as fever, evanescent rash, enlarged liver and spleen, lymphadenopathy, serositis and pericardial effusions can be seen",Pediatrics,Other disorders of bone,True,The question provides sufficient clinical information to infer a likely diagnosis without needing multiple options.
