subject_name,question,opa,opb,opc,opd
Medicine,"A 52-year-old male with toxic adenoma, treatment of choice is -",Surgical-removal of adenoma,Radiotherapy,Radioactive I2,Medical treatment
Medicine,"A patient with Renal cell carcinoma is on treatment with Erythropoetin. Erythropoetin use may be associated with all of the following, except:",Decreased reticulocytes,Increased hemtocrit,Increased hemoglobin,Eliminates need for transfusion
Medicine,"A-65, year old farmer presents with sweating, hypothermia and pulse rate of <50/min treatment is -",Physostigmine,Neostigmine,Atropine,Pilocarpine
Medicine,Vitamin that should be first supplemented during treatment of alcoholic patient?,Cyanocobalamine,Folic acid,Thiamine,Vitamin C
Medicine,A young man with tuberculosis presents with massive recurrent hemoptysis. For angiographic treatment which vascular structure should be evaluated first?,Pulmonary aery,Bronchial aery,Pulomary vein,Superior vena cava
Medicine,"A 40-year-old obese man presents with intense pain in his left first metatarsophalangeal (MTP) joint for the past few hours. He has no history of trauma, fever, chills, and no previous similar episode. He has no history of renal disease or diabetes though he has been told he is ""prediabetic."" He does not recall any recent skin infections and no family members have had any reported staphylococcal infection. On examination he has a swollen, red, warm, tender first MTP joint on the left. Uric acid level is 9 mg/dL; serum creatinine is normal. What is the best treatment approach for this patient?",Start allopurinol immediately and titrate for a uric acid level below 6. Add colchicine if this is not effective within the first 24 hours.,Begin prednisone until symptoms subside.,"Begin indomethacin. As the patient improves, reduce the dose to minimize gastrointestinal side effects.",Prescribe a narcotic until pain is under control.
Medicine,The treatment options for patients with RRMS (relapsing-remitting multiple sclerosis) are all except,IFN - 1 b,IFN - 1 a,Glatiramer acetate,TNF - a
Medicine,"A 46-year-old woman presents for her annual examination. Her main complaint is frequent sweating episodes with a sensation of intense heat starting at her upper chest and spreading up to her head. These have been intermittent for the past 6 to 9 months but are gradually worsening. She has three to four flushing/sweating episodes during the day and two to three at night. She occasionally feels her heart race for about a second, but when she checks her pulse it is normal. She reports feeling more tired and has difficulty with sleep due to sweating. She denies major life stressors. She also denies weight loss, weight gain, or change in bowel habit. Her last menstrual cycle was 3 months ago. Physical examination is normal. Which treatment is most appropriate in alleviating this woman's symptoms?",Levothyroxine,Estrogen,Estrogen plus progesterone,Citalopram
Medicine,"A patient got admitted with status epilepticus .During initial treatment , an intern reports to a senior resident that the patient has just lost his bladder control and that the urine appears darker than normal. The senior resident should take what measure?",Order placement of an indwelling urinary catheter,Order methacholine to regulate bladder emptying,Order condom catheter,Request urologist consultation to assess incontinence
Medicine,An 83-year-old woman has chronic congestive heart failure (CHF) due to grade IV left ventricular function (ejection fraction <20%). She requires 80 mg/day of furosemide as part of her treatment. Which of the following metabolic abnormalities is most likely to be seen while she is taking this medication?,metabolic acidosis,respiratory alkalosis,metabolic alkalosis,hyperkalemia
Medicine,"A female presents with anorexia, weight loss, hyperpigmentation, bowel changes, and light headedness on standing. The cosyntropin stimulation test shows random serum coisol of 11 mcg/dL (normal is greater than or equal to 20 mcg/dL). Serum coisol 1 hour after 0.25 mg cosyntropin N is 14 mcg/dL. (The rise in coisol is expected to be > 7 mcg/dL). Aldosterone level is 10 ng/dL. Which of the following is an appropriate treatment for this patient?",Hydrocoisone 15 mg daily for life,Prednisone 5 mg daily for life,Hydrocoisone 15 mg and fludrocoisone 0.1 mg daily for life,Prednisone 60 mg daily tapering to 10 mg a day and fludrocoisone 0.1 daily mg for life
Medicine,"As a junior resident , you are managing a patient of COVID-19 . When will you stop the treatment in COVID 19 patient ?",Two consecutive negative PCR repos atleast 48 hours apa with Clinico-radiological improvement,2 consecutive negative PCR repos atleast 24 hours apa with Clinico-radiological improvement,3 consecutive negative PCR repos atleast 48 hours apa with Clinico-radiological improvement,3 consecutive negative PCR repos atleast 24 hours apa with Clinico-radiological improvement
Medicine,"A patient was on treatment with penicillin. He developed pallor but there was no shortness of breath, urticaria or wheezing. On investigation, antibodies against penicillin were found in his blood. What is the type of hypersensitivity reaction that most likely occurred in this patient?",Type I hypersensitivity,Type II hypersensitivity,Type III hypersensitivity,Type IV hypersensitivity
Medicine,"A 58-year-old woman is admitted to hospital with left-sided hemiparesis. She is diagnosed with an ischemic right cortical stroke, and started on amino salicylic acid (ASA) for secondary prevention. Her carotid ultrasound reveals no arterial stenosis. She has no other significant past medical history but she does smoke half pack a day. Her fasting lipid profile is T-chol 240 mg/dL, HDL 50 mg/dL, LDL 160 mg/dL, and triglycerides 130 mg/dL.For the above patient with dyslipidemia, select the most appropriate treatment.","fibric acid derivatives (clofibrate, gemfibrozil)",nicotinic acid,"bile acid-binding resins (cholestyramine, colestipol)","hepatic hydroxymethylglutaryl coenzyme A (HMG-CoA) reductase inhibitors (lovastatin, simvastatin, pravastatin)"
Medicine,"A 16year old boy presents with symptoms similar to parkinsonism, on examination found to have dytonia and had no abnormalities on FD-PET scan, had clinical response to treatment with levodopa. What is the likely diagnosis?",Dementia with lewy bodies,Atypical parkinsomism,Dopa-responsive dystonia,Multiple system atrophy - parkinsonism type
Medicine,"A 65-year old man presented with skin lesions on his chest and left arm and shoulder six weeks after i returning from a cacation in Belize at the beach in the fain forest. The lesions occasionally stung, drained a dark exudates, and enlarged despite two weeks of treatment with cephalexin. The patient had no constitutional symptoms. Physical examination reverled five nodules of varying sizes with surrounding erythema and a central pore through which a single, moving larva was observed. This condition is caused by -",Tungiasis,Cutaneous leishmaniasis,Bot fly,d) Onchocerciasis
Medicine,A 32-year-old patient with Restless leg syndrome comes to the OPD. What is the most appropriate first line treatment?,Pramipexole,Gabapentin,Iron Supplementation,Vitamin B12
Medicine,A patient with Hodgkin's lymphoma presents with isolated cervical lymphadenopathy. Biopsy from the lesion shows characteristic lacunar cells. The treatment of choice for this patient is:,Chemotherapy with Radiotherapy,Chemotherapy alone,Radiotherapy alone,No treatment needed
Medicine,"A 41-year-old male patient presented with recurrent episodes of bloody diarrhoea for 5 years. Despite regular treatment with adequate doses of sulfasalazine, he has had several exacerbations of his disease and required several weeks of steroids for the control for flares. What should be the next line of treatment for him?",Methotrexate,Azathioprine,Cyclosporine,Cyclophosphamide
Medicine,"A 20-year-old woman presents to the clinic for evaluation of new symptoms of cough and yellow sputum production. She also reports feeling feverish and having intermittent right-sided chest pain on deep breathing. On physical examination, she appears well and the pertinent findings are dullness on percussion in the right lower lobe and inspiratory crackles on auscultation of the lungs. A chest x-ray confirms there is a right lower lobe infiltrate. Which of the following is the most appropriate treatment of community-acquired pneumonia?",carbenicillin,tobramycin,levofloxacin,methicillin
Microbiology,"A 16-year-old female comes to the physician because of an increased vaginal discharge. She developed this symptom 2 days ago. She also complains of dysuriA. She is sexually active with one paner and uses condoms intermittently. Examination reveals some erythema of the cervix but is otherwise unremarkable. A urine culture is sent which comes back negative. Sexually transmitted disease testing is performed and the patient is found to have gonorrheA. While treating this patient's gonorrhea infection, treatment must also be given for which of the following?",Bacterial vaginosis,Chlamydia,Herpes,Syphilis
Microbiology,"An outbreak occurs in a community where the water supply is contaminated. Multiple patients experience nausea and vomiting as well as profuse diarrhea with abdominal cramps; stools are described as ""rice water."" Curved, gram-negative rods are isolated on a sulfate-citrate-bile- sucrose agar. In the treatment of patients who have cholera, the use of a drug that inhibits adenyl cyclase would be expected to have which of the following characteristics?",Block the action of cholera toxin,Eradicate the organism,Increase fluid secretion,Kill the patient immediately
Microbiology,An endocarditis patient under a physician's care develops a urinary tract infection (UTI). A group D enterococcus (Enterococcusfaecium) is isolated but the UTI does not respond to ampicillin and gentamicin treatments. Which of the following options would be considered the most clinically appropriate action?,Consider vancomycin as an alternative drug,Determine if fluorescent microscopy is available for the diagnosis of actinomycosis,Do no further clinical workup,Suggest to the laboratory that low colony counts may reflect infection
Microbiology,"A 6-year-old girl is diagnosed with meningitis. A lumbar puncture reveals numerous neutrophils and gram-negative diplococci. She is admitted to the hospital for antibiotic treatment, which is complicated by the fact that she is known to be allergic to b-lactams. What is the mechanism of action of the alternative drug of choice to treat this infant's meningitis?",Blocks tRNA binding to the A site,Causes misreading of mRNA,Inhibits formation of the peptide bond,Prevents translocation
Microbiology,"A 50-year-old man presented to his family doctor complaining of flu-like symptoms. The doctor gave him a shot of penicillin and sent him home. The man came back a week later and in fact, felt worse. The man was a rancher and raised a lot of cattle. He told the doctor that he had congenital heart disease and an attack of rheumatic fever when he was young. The man now complained of fever, night sweats, continual coughing, weight loss, and lethargy. The doctor had the man hospitalized because he now suspected subacute bacterial endocarditis (SBE). A culture of his blood did not show any bacterial growth, but a serum analysis for antibodies against a certain bacterium was positive. As a result of finding antibodies to this organism, treatment with doxycycline was begun and the patient improved and was released from the hospital. What was the name of the organism with which the man was infected?",Chlamydophila psittaci,Chlamydophila pneumoniae,Chlamydia trachomatis,Coxiella burnetii
Microbiology,A 42yr old female with HIV is frequently suffering from diarrhoea despite treatment with HAA. Which of the following organisms can cause diarrhoea in HIV patients?,Cryptosporidium,Microsporidia,Isospora,All the above
Microbiology,25 year old labourer 3 yrs back presented with penile ulcer not treated. Later he presented with neurological symptoms for which he got treated. Test to monitor response to treatment is,VDRL,FTA ABS,TPI,RPR
Microbiology,A 12 yr old child presents with fever and cervical lymphadenopathy for last 36 hours. Oral examination shows a grey membrane on the right tonsil. What is the primary treatment?,Penicillin IV for 10 days,20000 -40000 units I/M equine derived antitoxin,"80,000-1,20,000units I/M equine derived antitoxin",Erythromycin to be given for 2 weeks
Microbiology,"A healthy 45-year-old female had root canal treatment about 3 weeks ago. She now presents with a new heart murmur, fever, painful skin nodules, abdominal pain, and an abnormal liver function test. Which of the following organisms would mostly likely cause endocarditis and is implicated in dental caries or root canal infections?",a-Hemolytic streptococci,Bacteroides fragilis,Escherichia coli,Lactobacillus species
Microbiology,A patient presents with lower gastrointestinal bleed. Sigmoidoscopy shows ulcer in the sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment -,Intravenous ceftriaxone,Intravenous metronidazole,Intravenous steroids and sulphasalazine,Hydrocoisone enemas
Microbiology,Which is the true statement regarding gonococcal urethritis -a) Symptoms are more severe in females than in malesb) Rectum and prostate are resistant to gonococcic) Most patients present with symptoms of dysuriad) Single dose of ciprofioxacin is effective in treatmente) Commonly leads to arthritis,cd,bc,bd,ac
Microbiology,A patient presents with lower gastrointestinal bleed. Sigmoidoscopy shows ulcer in the sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment?,Intravenous ceftriaxone,Intravenous metronidazole,Intravenous steroids and sulphasalazine,Hydrocortisone enemas
Microbiology,25 year old labourer 3 years back presented with penile ulcer not treated. Later he presented with neurological symptoms for which he got treated. Test to monitor response to treatment is ?,VDRL,FTA-ABS,TPI,RPR
Microbiology,A patient presents with lower gastrointestinal bleed. Sigmoidoscopy shows ulcer in the sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment ?,Intravenous ceftriaxone,Intravenous metronidazole,Intravenous steroids and sulphasalazine,Hydrocoisone enemas
Microbiology,A 28-year-old female with folliculitis is not responsive to a 10-day treatment course with penicillin. An enzyme produced by the etiologic agent is most likely responsible for this treatment failure. At which site on the molecule shown does this enzyme act to destroy penicillin?,1,2,3,4
Microbiology,"A 3-year-old male child is brought by his father with complaint of recurrent infections despite proper treatment and hygiene. While reviewing his history, pediatrician notices that the child has been infected multiple times with S. aureus, Pseudomonas & E. coli. Which of the following test will be useful to diagnose condition of the child?",Negative nitroblue-tetrazolium test,Positive nitroblue-tetrazolium test,"Increased IgM, Decreased IgG, IgA, and IgE","Increased IgE and IgA, Decreased IgM"
Ophthalmology,A 28-year-old male complains of glare in both eyes. The cornea shows whorl-like opacities of the epithelium. He also gave a history of long-term treatment with amiodarone. The most likely diagnosis is –,Terrain's marginal degeneration,Cornea verticillata,Band shaped keratophathy,Arcus juvenalis
Ophthalmology,You have been asked to consult in the treatment of an 80-year-old patient. An antimuscarinic drug is being considered. Atropine therapy in the elderly may be hazardous because:,Atropine can elevate intraocular pressure in patients with glaucoma,Atropine frequently causes ventricular tachycardia,Urinary retention may be precipitated by atropine in women,The elderly are paicularly prone to develop dangerous hypehermia when given Atropine
Ophthalmology,"A 8 year old boy presented with swelling in the left eye of 3 months duration, examination revealed proptosis of left eye with preserved vision. Right eye is normal.CT scan revealed intraorbital extra conal mass lesion.Biopsy revealed embryonal rhabdomyosarcoma.Metastatic work up was normal.The standard line of treatment is:",Chemotherapy only,Wide local excision.,Enucleation,Chemotherapy and Radiaton therapy
Ophthalmology,A 28-year-old male complains of glare in both eyes. The cornea shows whorl like opacities of the epithelium. He also gave a history of long term treatment with amiodarone. The most likely diagnosis is:,Terrain's marginal degeneration,Cornea veicillata,Band shaped keratophathy,Arcus juvenalis
Ophthalmology,A patient using contact lens develops corneal infection. Laboratory diagnosis of acanthamoeba keratitis was established.The following is the best drug for treatment-,Propamide,Neosporine,Ketoconazole,Polyhexamethylene biguanide
Ophthalmology,A 28 year old male complains of glare in both eyes. The cornea shows whorl like opacities of the epithelium. He also gave a history of long term treatment with amiodarone. The most likely diagnosis is -,Terrain's marginal degeneration,Cornea veicillata,Band shaped keratophathy,Arcus Juvenalis
Ophthalmology,A patient using contact lens develops corneal infection. Laboratory diagnosis of acanthomoeba keratitis was established. The following is the best drug for treatment:,Propamidine,Neosporine,Ketoconazole,Polyhexamethylene biguanide
Ophthalmology,A patient of closed angle Glaucoma the treatment of choice in other eye is,Acetolazimide,Laser iridotomy,Pilocarpine,Timolol eye drop
Ophthalmology,"A 45 year old diabetic patient has immunosuppressed with uncontrolled diabetes mellitus. The lesions are locally destructive and have eroded into the eye, palate, and central nervous system, often from an initial site in the sinuses. The organism can be difficult to culture. The appropriate treatment is:",Is intravenous amphotericin only,Surgical debridement only,Watchful observation,Intravenous amphotericin but surgical debridement should also be strongly considered
Ophthalmology,A 7 yr patient came to opd with nodule on conjunctiva. He has history of taking TB treatment in the past. The nodule with has now encroached the limbus. What is the possible diagnosis.,Trachoma,Vernal keratoconjunctivits,Phylectenular keratoconjunctivitis,Limbus stem cell deficiency
Ophthalmology,A patient came to the casualty with acute attack of asthma after starting treatment of glaucoma. The causative drug is,Timolol,Betaxolol,Clonidine,Acetazolamide
Ophthalmology,"If patient is on follow up with you, after a enucleating of an painful blind eye. After you enucleating the eyeball, a proper sized aificial prosthetic why is advanced after an post operative treatment",About 10 days,About 20 days,6-8 week,12 -24 weeks
Ophthalmology,40 years old man has glare in both eyes. Examination revealed whorl like opacities of corneal epithelium. He gives history of long term treatment with amiodarone. What is the MOST likely diagnosis?,Band shaped keratopathy,Cornea veicillata,Climatic droplet keratopathy,Fuchs endothelial dystrophy
Ophthalmology,For the treatment of a patient with after cataract which laser is used?,LASIK,Nd-YAG,Excimer,Argon
Ophthalmology,A patient came with chief complaints of cuain falling in front of eye after blunt trauma. O/e there was inferior giant retinal tear. What should be the immediate line of treatment,Scleral Buckling,Pan Retinal Photocoagulation,Pars plana vitrectomy with endophotocoagulation,Pneumatoretinopexy
Ophthalmology,A young 23-year-old black African man presents with a hyphema in the right eye after blunt injury. All of the following are acceptable initial treatments except?,Sleep with the head elevate,Prednisolone steroid eye drops,Cyclopentolate dilating drops,Carbonic anhydrase inhibitor pressure drops
Ophthalmology,"A 8 year old boy presented with swelling in the left eye of 3 months, examination revealed proptosis of left eye with preserved vision. Right eye is normal. CT scan revealed intraorbital extraconal mass lesion. Biopsy revealed embryonal rhabdomyosarcoma. Metastatic work up was normal. The standard line of treatment is -",Chemotherapy only,Wide local excision,Enucleation,Chemotherapy and Radiaton therapy
Orthopaedics,"Which statement is true regarding genu varum (bowleg) -a) In infants, it may be considered normalb) Occurs due to epiphyseal dysplasiac) Seldom associated with tibial angulationd) Affects only tibia but nerve femure) Does not require any treatment",ac,ab,ad,bc
Orthopaedics,"Pediatric patient with upper humerus lytic lesion with coical thinning, which among the following is not a treatment modality:",Sclerosant,Radiotherapy,Curettage and bone grafting,Steroids
Orthopaedics,A 17-year-old high school tennis player sustains a right midshaft clavicle fracture. Which of the following increases the risk of nonunion in the non operative treatment of clavicle fractures,Sling treatment,Figure-of-eight bandage treatment,Displacement and comminution,Male sex
Orthopaedics,Which of the following is a treatment option for Volkmann's ischemia?,Fasciotomy,Cock up splint,Bone shortening,Turn buckle splint
Orthopaedics,"In the case of a 70 year old lady with intracapsular fracture of the neck of femur, the ideal treatment would be-",Closed traction,Hemiahroplasty,Internal fixation with nail,Internal fixation with nail and plate
Orthopaedics,"A woman of 45, a known cause of pemphigus vulgaris on a regular treatment with controlled primary disease presented with pain in the right hip and knee. Examination revealed no limb length discrepancy but the patient has tenderness in the scarpa's triangle and limitation of abduction and internal rotation of the right hip joints as compared to the other side. The most probable diagnosis is -",Stress fracture of neck of femur,Avascular necrosis of femoral head,Perthe's disease,Transient synovitis of hip
Orthopaedics,"In 65 year old male with history of fracture neck of femur 6 weeks old,treatment of choice -",SP nailing,Mc Murray's osteotomy,Hemiarthroplasty,None
Orthopaedics,Which bisphosphonate is approved for the treatment of osteoporosis and is given on yearly basis?,Alendronate,Zoledronate,Risedronate,Ibandronate
Orthopaedics,A 4 year old child with history of fall on left forearm and develops fracture in dorsal surface of mid region of radius. Best treatment is,Immobilize with POP,Open reduction internal fixation,K-wire fixation,Break the cortex on the other side and immobilize by POP
Orthopaedics,Drug of choice for the treatment of acute gout in patients in whom NSAIDs are contraindicated is-,Colchicine,Allopurinol,Xyloric acid,Paracetamol
Orthopaedics,"A 45-year-old female came with neck pain and stiffness since 3 months. Diagnosed as shown below. All are operative treatment of the condition, except?",Interveebral disc replacement,Anterior discectomy and fusion,Laminaforaminotomy,Posterior decompression
Orthopaedics,The best treatment for fracture neck femur is a 65-year-old lady is -,POP cast,Gleotomy,Bone grafting and compression,Hemireplacement arthroplasty
Orthopaedics,"A 50 years male with fracture neck of femur comes after 3 days, treatment of choice is",hemiarthroplasty,total hip replacement,hip spika,CR&IF
Pathology,"A 20-year-old woman presents with a 4-week history of dry mouth, fatigue, fever, and yellow sclerae. Physical examination shows mild jaundice and hepatomegaly Serum total bilirubin is 3.3 mg/dL. Serologic markers for viral hepatitis are negative. The anti-mitochondrial antibody test is negative. A liver biopsy discloses parenchymal and periportal inflammatory cell infiltrates composed primarily of lymphocytes and plasma cells. The patient's signs and symptoms abate following 2 months of treatment with steroids. Which of the following is the most likely diagnosis?",Autoimmune hepatitis,Extrahepatic jaundice,Primary biliary cirrhosis,Primary sclerosing cholangitis
Pathology,A 45 year old lady is having persistent reflux symptoms. Most accurate investigations in establishing diagnosis before surgical treatment is,An UGI series,Endoscopy,Esophageal manometry,Ambulatory pH monitoring
Pathology,"A 50 years old hypertensive male cardiac patient, who is on anticonvulsant treatment, developed following rash on right hand. Most probable drug responsible for it is-",Propanolol,Atrovastatin,Warfarin,Phenytoin
Pathology,"A young child of 7 years age is seen with indurated ulcers, lymphadenopathy and fever. The likely treatment is:",Symptomatic treatment,Systemic antibiotics,Excise the lesion,I.v. Fluids
Pathology,"A 43-year-old man has experienced progressive fatigue, pruritus, and icterus for 4 months. A colectomy was performed 5 years ago for the treatment of ulcerative colitis. On physical examination, he now has generalized jaundice. The abdomen is not distended; on palpation, there is no abdominal pain and there are no masses. Laboratory studies show a serum alkaline phosphatase level of 285 U/L and an elevated titer of anti-neutrophil cytoplasmic antibodies. Cholangiography shows widespread intrahepatic biliary tree obliteration and a beaded appearance in the remaining ducts. Which of the following morphologic features is most likely to be present in his liver?","Concentric ""onion-skin"" ductular fibrosis",Copper deposition in hepatocytes,Granulomatous bile duct destruction,Interface hepatitis
Pathology,"A 20-year-old man presents with severe right lower quadrant abdominal pain, nausea, and anorexia. He states that the abdominal pain staed around his umbilicus and has now migrated to the right lower quadrant of his abdomen. Physical examination reveals exquisite tenderness at McBurney's point . This patient is diagnosed with acute appendicitis. Which of the following is the treatment for this condition?","Antibiotics only, because the appendix is crucial for survival","Surgical resection of the appendix, because appendicitis can lead to appendiceal cancer","Surgical resection of the appendix, because appendicitis can lead to perforation or abscess","""Watch-and-wait"" approach over days to see if inflammation subsides"
Pathology,"A patient is on treatment with penicillin. He developed pallor but there was no shoness of breath, uicaria or wheezing. On investigation, antibodies against penicillin were found in the blood. What is the type of hypersensitivity reaction that most likely occurred in this patient -",I,II,III,IV
Pathology,Best treatment of endometriosis in a young girl is,Oestrogen,Gonadotropins,Surgery,Danazol
Pathology,"A 72-year-old man has had increasing difficulty with urination for the past 10 years. He now has to get up several times each night because of a feeling of urgency, but each time the urine volume is not great. He has difficulty starting and stopping urination. On physical examination, the prostate is enlarged to twice its normal size but is not tender to palpation. One year ago, his serum prostate-specific antigen (PSA) level was 6 ng/mL, and it is still at that level when retested. Which of the following drugs is most likely to be effective in the treatment of this man?",Estrogen (hormone),Finasteride (5a-reductase inhibitor),Mitoxantrone (chemotherapy agent),Nitrofurantoin (antibiotic)
Pathology,"A male patient 59 year old complains of multiple swellings in the neck, fever, and weight loss. He gives a history of hypertension treatment. General examination reveals painless lymph nodal enlargement in the neck and on blood investigation, anaemia is revealed. Lymph node biopsy shows typical owl eye-shaped appearance cells.
What can be the most probable diagnosis for this patient?",Multiple myeloma,Hodgkin’s lymphoma,Non-hodgkin’s lymphoma,Burkitt’s lymphoma
Pathology,A 4-year-old girl presents with swelling of the legs and ankles. Physical examination reveals pitting edema of the lower extremities. Urinalysis show 2+ proteinuria. The urinary sediment contains no inflammatory cells or red blood cells. Serum levels of BUN and creatinine are normal. The patient recovers completely after a course of corticosteroids. Which of the following pathologic findings might be expected in the urine prior to treatment with corticosteroids?,Amyloid casts,Eosinophils,Lipid droplets,Red blood cell casts
Pathology,"Uses of tumor marker are -a) Screening of a cancerb) Follow up of a cancer patient, especially for knowing about recurrencec) Confirmation of a diagnosed cancerd) For monitoring the treatment of a cancer",acd,abd,abc,ab
Pathology,"A 45-year-old woman complains of tingling in her hands and feet, 24 hours after removal of follicular thyroid carcinoma. Her symptoms rapidly progress to severe muscle cramps, laryngeal stridor, and convulsions. Which of the following laboratory findings would be expected in this patient prior to treatment?",Decreased serum calcium and decreased PTH,Decreased serum calcium and increased PTH,Increased serum calcium and decreased PTH,Increased serum calcium and increased PTH
Pathology,The treatment for a child with cherubism is,surgical excision,cosmetic surgery after puberty,radiation,Enbloc dissection
Pediatrics,"One of your patients who was diagnosed to have malaria was treated with chloroquine and doxycycline for 7 days. Though his fever subsided in a few days after staing the treatment, his peripheral smear showed plasmodium gametocytes even after 7 days of treatment. As per WHO guidelines this type of drug resistance is:",S type,R1 type,R2 type,R3 type
Pediatrics,"After her first urinary tract infection (UTI), a 1-year-old girl has a voiding cystourethrogram with findings shown below. Which of the following is the most appropriate treatment option?",Low-dose daily antibiotics,Immediate surgical reimplantation of the ureters,Weekly urinalyses and culture,Diet low in protein
Pediatrics,The immediate treatment of 10 kg weight infants presented with tetany -,IV Diazepam,IV calcium gluconate with cardiac monitoring,IV slow phenobarbitone,Wait and watch
Pediatrics,"A baby is born after 31st gestational weeks by cesarean delivery. The child has tachypnea, nasal flaring, subcostal and intercostals retraction. Nasogastric tube was positioned without problems. Chest radiography shows bilateral, diffuse, ground-glass appearance, air bronchograms and poor lung expansion. What is the best treatment plan in the present case?",Oxygen therapy,Surfactant administration and oxygen therapy,Emergency surgical repair of tracheoesophageal fistula,"No therapy, only observation"
Pediatrics,A 9- years old child has steroid dependant nephrotic syndrome for the last 5 years. He has received corticosteroids almost continuously during this period and has Cushingoid features. The blood pressure is 120/86 mmHg and there are bilateral subcapsular cataracts. The treatment of choice is:,Levamisole.,Cyclophosphamide.,Cyclosporin A.,Intravenous pulse corticosteroids.
Pediatrics,A six months old girl is having recurrent UTI. Ultrasound abdomen shows bilateral hydronephrosis. MCU (Micturating cysto urethrogram) shows bilateral Grade IV vesicoureteral reflux. The treatment of choice is:,Endoscopic injection of poly teflon at the ureteric orifices,Ureteric re-implantation,Bilateral Ureterostomy,Prophylactic antibiotics
Pediatrics,"In a mother with active tuberculosis, treatment for infant is",Isoniazid prophylaxis,No treatment,Full treatment with HRE,Treatment with Isoniazid and rifampicin
Pediatrics,GBS in a child treatment,IVIG,Ventilation,Plasmapharesis,All of above
Pediatrics,True about Nephrotic syndrome in a child – a) Minimal change disease is commonest causeb) Proteinuria of 4 gm/m2 hr is characteristicc) Cyclosporine & Azathioprine is mainstay of therapyd) Pretreatment biopsy is done in all casese) Spontaneous bacterial peritonitis is associated with it,a,ae,ab,ad
Pediatrics,Which of the following congenital malformation is seen in a child of a mother who is on treatment with oral anticoagulants?,Nasal hypoplasia,Renal agenesis,Long bone defects,Achondroplasia
Pediatrics,The immediate treatment of 10 kg weight infants presented with tetany,IV Diazepam,IV calcium gluconate with cardiac monitoring,IV slow phenobarbitone,Wait and watch
Pediatrics,"A 7-year-old child from West Bengal presented with high grade fever with chills and rigor. Peripheral smear examination revealed Plasmodium vivax. He was given treatment for the same. But he again presented with jaundice, and a repeat peripheral smear showed following. What is your diagnosis?",Viral Hepatitis,Sickle cell Anemia,Hemolytic uremic syndrome,Glucose 6 Phosphate dehydrogenase deficiency
Pediatrics,"After helping his father in the yard, a 14-year-old boy complains of weakness and feels like his muscles are twitching. He begins to drool, and then collapses in a generalized tonic-clonic seizure. Upon the arrival of EMS, his heart rate is found to be 40 beats per minute and his pupils are pinpoint. For the most likely toxic substance involved in the cases above, select the appropriate treatment",Atropine and pralidoxime (2-PAM),N- acetylcysteine (Mucomyst),"Dimercaptosuccinic acid (DMSA, succimer)",Naloxone (Narcan)
Pediatrics,Which of the following is not given in the treatment cyanotic spells in a patient of TOF?,Phenylephrine,Propranolol,Calcium chloride,Sodium bicarbonate
Pediatrics,"A 5-year-old girl is admitted to your Paeds ward. The parents give the history that the child has had recurrent, intermittent episodes of fever and respiratory distress over the past 1.5 years, including cough, wheezing, and dyspnea lasting for 3-4 days. With every episode, hemoptysis is present. Now she is diagnosed with Right lower lobe pneumonia which improves upon treatment. On physical examination, the patient is pale, icteric with digital clubbing. Which of the following is the most appropriate next Investigation?",Modified barium swallow study to evaluate for aspiration,Bronchoalveolar lavage,Nasal swab for viral culture,Incentive spirometry
Pediatrics,"A 5-year old child developed seizures a few months ago. The seizures sta with feeling of strange smell (burning rubber), continue with generalized contractions, and end with rhythmic spasms. Consciousness is lost during attacks and the child is confused afterwards. When the seizures staed, the child was referred to a neurologist who prescribed phenytoin as the initial treatment. Now, the parents bring the child back for scheduled DTP immunization (diphtheria, tetanus, peussis). Which of the following is the most appropriate next step in the management?",Immunization with DTP vaccine.,Change medication to phenobarbital and DTP immunization,Two weeks drug holiday and DTP immunization afterwards,Deferral of DTP immunization
Pediatrics,"Over the past several weeks, a 2-year-old girl has exhibited developmental regression, abnormal sleep patterns, anorexia, irritability, and decreased activity. These symptoms have progressed to acute encephalopathy with vomiting, ataxia, and variable consciousness. The family recently moved, and they are in the process of restoring the interior of their home. For the most likely toxic substance involved in the cases above, select the appropriate treatment",Atropine and pralidoxime (2-PAM),N- acetylcysteine (Mucomyst),"Dimercaptosuccinic acid (DMSA, succimer)",Naloxone (Narcan)
Pharmacology,"In an accidental needle stick, an unknown quantity of blood from an AIDS patient is injected into a nurse. The most recent laboratory report on the AIDS patient shows a CD4 count of 20/µl and a viral RNA load of greater than 107copies/ml. The most appropriate course of action regarding the treatment of the nurse is to :",Monitor the nurse's blood to determine whether HIV transmission has occurred,Treat with full doses of zidovudine for 2 weeks,Add acyclovir to the 4-weeks zidovudine regimen,Administer zidovudine with lamivudine for 4 weeks
Pharmacology,25 years old laborer 3 yrs back presented with penile ulcer which was not treated. Later he presented with neurological symptoms for which he got treated. Test to monitor response to treatment is NOT RELATED-DERMATOLOGY,VDRL,FTA ABS,TPI,RPR
Pharmacology,A patient presents with malignant hypehermia and metabolic acidosis. Immediate treatment should be staed with:,Intravenous Dantrolene,Sodium bicarbonate,Intravenous fluids,Paracetamol
